MLLM,Avg Class F1,Class F1 SD,Avg Rel F1,Rel F1 SD,Overall Avg F1,Overall F1 SD
Qwen,0.9306,0.0699 ✅,0.6995,0.3022,0.8150,0.1529 ✅
Claude,0.8593,0.1655,0.5166,0.2730,0.6880,0.1569
Gemini,0.6951,0.2736,0.4294,0.2649,0.5623,0.1720
Grok,0.5684,0.3701 ⚠️,0.4324,0.3430 ⚠️,0.5004,0.2641 ⚠️
Mistral,0.6267,0.3395,0.2927,0.3025,0.4597,0.2051
GPT,0.6171,0.3748 ⚠️,0.2000,0.1425 ✅,0.4085,0.2106
