No.,Classes,Total_Relationships,Unique_Rel_Types,Dependency_Density
03,15,18,2,0.0
04,13,14,4,0.0714
05,8,9,4,0.1111
06,19,22,1,1.0
07,4,3,1,1.0
08,16,17,5,0.0
09,15,14,6,0.2143
10,13,19,3,0.0
11,6,10,2,0.0
12,15,14,2,0.0
13,25,30,4,0.5
14,6,7,1,0.0
15,9,13,2,0.0
